Crop,Model,R²,MSE,RMSE,MAE
Other Kharif pulses,CatBoost,0.704164752029682,0.0301456113059604,0.1736249155679,0.1257067780006346
Other Kharif pulses,SVM,0.7035120589175807,0.0302121207330637,0.1738163419620369,0.1176616343015828
Other Kharif pulses,MLP,0.7024122291652486,0.030324193383108,0.1741384316660398,0.1200212636949736
Sannhamp,Random Forest,0.9746700208859612,0.0650531447032128,0.2550551797223746,0.1514723822009927
Sannhamp,Gradient Boosting,0.9726480705191638,0.0702459729010495,0.2650395685573185,0.1552756213380713
Sannhamp,XGBoost,0.9739917499956036,0.0667950985429603,0.2584474773391303,0.1508519478776959
Sannhamp,CatBoost,0.8967512793994799,0.2651661863362787,0.5149428961897413,0.2530856697827363
Sannhamp,SVM,0.9595379394131872,0.1039157699457105,0.3223596903238843,0.1867993148754121
Sannhamp,MLP,0.967101476583993,0.0844908870500171,0.2906731619018466,0.1661444140823929
Urad,Random Forest,0.7217636537771632,0.0159794101070096,0.1264096915074539,0.0868700982929819
Urad,Gradient Boosting,0.7043886511404523,0.0169772750391491,0.1302968727143867,0.0914447627750318
Urad,XGBoost,0.7097036669496533,0.0166720280126788,0.1291202076077903,0.0887555131431994
Urad,CatBoost,0.7107567158470292,0.0166115502914094,0.1288858032965982,0.0903847897039659
Urad,SVM,0.703188252836864,0.0170462151939678,0.1305611549962998,0.091886121509199
Urad,MLP,0.7608859575101834,0.013732574479071,0.1171860677686178,0.0810824837934171
Niger seed,Random Forest,0.926240505730878,0.0040375301630383,0.0635415624850252,0.0487170994346518
Niger seed,Gradient Boosting,0.9371684302939376,0.0034393451364196,0.0586459302630593,0.0442462469859211
Niger seed,XGBoost,0.9334584532005248,0.0036424260355942,0.0603525147412616,0.0448152263846486
Niger seed,CatBoost,0.9276171941812592,0.0039621714421225,0.0629457817659176,0.0495688501967877
Niger seed,SVM,0.9219969456834224,0.0042698189261331,0.0653438514791797,0.0474078393421659
Niger seed,MLP,0.9483295493398564,0.0028283952478976,0.0531826592781671,0.0391509802567881
Peas & beans (Pulses),Random Forest,0.879321153975823,0.3717447997881106,0.6097087827710133,0.2894728748830254
Peas & beans (Pulses),Gradient Boosting,0.830949357844746,0.520751558309285,0.7216311788644425,0.3259498814469229
Peas & beans (Pulses),XGBoost,0.8610811012845343,0.4279323169813825,0.6541653590502806,0.2704777131465817
Peas & beans (Pulses),CatBoost,0.8912410718694285,0.3350261234265439,0.5788144119029379,0.2658992184810019
Peas & beans (Pulses),SVM,0.8996749017433765,0.3090461567527683,0.555919199841819,0.2679302321865594
Peas & beans (Pulses),MLP,0.917668253967008,0.2536185872966374,0.5036055870387435,0.2602060506093037
Safflower,Random Forest,0.6637127725182613,0.0159687783754352,0.126367631834403,0.0928002619392347
Safflower,Gradient Boosting,0.6462302776663095,0.0167989439687914,0.129610740175309,0.0961018672999555
Safflower,XGBoost,0.6091019646372482,0.0185620017175341,0.1362424372856494,0.0997682409692644
Safflower,CatBoost,0.6397606088060186,0.0171061596455987,0.1307905181792577,0.0958029067286833
Safflower,SVM,0.6553987933242595,0.0163635721122095,0.1279201786748656,0.0979798982411848
Safflower,MLP,0.6802862721338393,0.0151817769057439,0.1232143534891287,0.0906478826641937
Sunflower,Random Forest,0.6817338156700528,0.0663377225776215,0.2575611045511754,0.169280492830659
Sunflower,Gradient Boosting,0.6912740818827618,0.0643491998739991,0.2536714407930052,0.1654620266831613
Sunflower,XGBoost,0.6550821210298088,0.0718928610507528,0.2681284413313007,0.1718856818177075
Sunflower,CatBoost,0.71514379681867,0.0593739225577524,0.243667647745351,0.1650097652728626
Sunflower,SVM,0.7402911063564057,0.0541323501701611,0.2326635987217621,0.161135592856312
Sunflower,MLP,0.7083512004667144,0.0607897354670832,0.24655574515124,0.1710192744387081
Barley,Random Forest,0.8699157657299763,0.111481004715749,0.3338877127355078,0.2149563919814529
Barley,Gradient Boosting,0.867839080662383,0.1132607049162585,0.3365422780517457,0.2305166754548234
Barley,XGBoost,0.8909442169254485,0.0934598134465504,0.3057119779245661,0.2132157569282438
Barley,CatBoost,0.8774666572421896,0.1050099594195616,0.3240524022740174,0.2241685172379888
Barley,SVM,0.882341064380421,0.1008326368699614,0.3175415514069952,0.2168789711004059
Barley,MLP,0.9100209758027688,0.0771112047292999,0.2776890432287525,0.1784775028986404
other oilseeds,Random Forest,0.5992046788894727,8.374097816933586,2.8938033480064926,1.209259732488761
other oilseeds,Gradient Boosting,0.5963090070506429,8.43459912008481,2.9042381307469967,1.209414262549185
other oilseeds,XGBoost,0.7229527916060416,5.788541683997351,2.405938836296,0.8617882166268164
other oilseeds,CatBoost,0.7491079253005194,5.242064126909974,2.2895554430740424,0.9548903510345818
other oilseeds,SVM,0.918564648668309,1.7014859253306331,1.3044101829296768,0.7589756668718963
other oilseeds,MLP,0.9143579611447918,1.789379198908773,1.3376767916461634,0.5959757075951928
Other Cereals,Random Forest,0.3321540608061799,0.069866664502371,0.2643230305939515,0.1834288727159633
Other Cereals,Gradient Boosting,0.2457359649091167,0.0789072886323346,0.2809044119132604,0.2053224900721996
Other Cereals,XGBoost,0.340508158355207,0.068992701067956,0.2626646170841364,0.1713630676388267
Other Cereals,CatBoost,0.2589942605593565,0.077520272795738,0.2784246267766881,0.1995532105900487
Other Cereals,SVM,0.2866284972521264,0.0746293187141372,0.2731836721221407,0.1982624312941296
